,Building,Orientation,BlindType,Shading,WindowID,Occlusion,Floor,WindowSize,WindowVLT,BlindVLT,WindowBlindVLT,OfficeUse,Date_Time,WWR,View Quality,Sky Condition,Irradiance,Month
1816,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
0,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
458,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
910,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1363,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2705,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3190,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3676,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4162,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4648,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1817,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
1,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
459,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
911,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1364,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2706,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3191,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3677,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4163,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4649,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1818,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
2,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
460,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
912,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1365,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2707,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3192,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3678,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4164,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4650,A,Northeast,Louver,NonShaded,3,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1819,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
3,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
461,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
913,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1366,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2708,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3193,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3679,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4165,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4651,A,Northeast,Louver,NonShaded,4,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1820,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
4,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
462,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
914,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1367,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2709,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3194,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3680,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4166,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4652,A,Northeast,Louver,NonShaded,5,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1821,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
5,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
463,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
915,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1368,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2710,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3195,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3681,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4167,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4653,A,Northeast,Louver,NonShaded,6,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1822,A,Northeast,Louver,NonShaded,7,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
6,A,Northeast,Louver,NonShaded,7,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
464,A,Northeast,Louver,NonShaded,7,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
916,A,Northeast,Louver,NonShaded,7,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1369,A,Northeast,Louver,NonShaded,7,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2711,A,Northeast,Louver,NonShaded,7,0.7,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3196,A,Northeast,Louver,NonShaded,7,0.7,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3682,A,Northeast,Louver,NonShaded,7,0.7,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4168,A,Northeast,Louver,NonShaded,7,0.7,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4654,A,Northeast,Louver,NonShaded,7,0.7,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1823,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
7,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
465,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
917,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1370,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2712,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3197,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3683,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4169,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4655,A,Northeast,Louver,NonShaded,8,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1824,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
8,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
466,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
918,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1371,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2713,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3198,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3684,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4170,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4656,A,Northeast,Louver,NonShaded,9,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1825,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
9,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
467,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
919,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1372,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2714,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3199,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3685,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4171,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4657,A,Northeast,Louver,NonShaded,10,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1826,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
10,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
468,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
920,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1373,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2715,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3200,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3686,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4172,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4658,A,Northeast,Louver,NonShaded,11,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1827,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
11,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
469,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
921,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1374,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2716,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3201,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3687,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4173,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4659,A,Northeast,Louver,NonShaded,12,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1828,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
12,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
470,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
922,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1375,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2717,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3202,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3688,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4174,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4660,A,Northeast,Louver,NonShaded,13,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1829,A,Northeast,Louver,NonShaded,14,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
13,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
2262,A,Northeast,Louver,NonShaded,14,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
471,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
2377,A,Northeast,Louver,NonShaded,14,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
923,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
2489,A,Northeast,Louver,NonShaded,14,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1376,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2597,A,Northeast,Louver,NonShaded,14,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2718,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3203,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3689,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4175,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4661,A,Northeast,Louver,NonShaded,14,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1830,A,Northeast,Louver,NonShaded,15,0.9,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
14,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
2263,A,Northeast,Louver,NonShaded,15,0.9,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
472,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
2378,A,Northeast,Louver,NonShaded,15,0.9,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
924,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
2490,A,Northeast,Louver,NonShaded,15,0.9,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1377,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2598,A,Northeast,Louver,NonShaded,15,0.9,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2719,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3204,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3690,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4176,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4662,A,Northeast,Louver,NonShaded,15,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1831,A,Northeast,Louver,NonShaded,16,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
15,A,Northeast,Louver,NonShaded,16,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
2264,A,Northeast,Louver,NonShaded,16,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
473,A,Northeast,Louver,NonShaded,16,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
2379,A,Northeast,Louver,NonShaded,16,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
925,A,Northeast,Louver,NonShaded,16,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
2491,A,Northeast,Louver,NonShaded,16,0.9,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
